cell_id,r_c,x_c,z_c,radial_pos,A_true,rel_err_N200,rel_err_N317,rel_err_N502,rel_err_N796,rel_err_N1262,rel_err_N2000
3.400000000000000000e+01,1.967398570760218734e-01,1.270954129023422752e-01,-2.550086755139797656e-01,2.849257246515503605e-01,1.284148987432108813e-01,-9.256573575016080468e-04,9.826308017446550025e-05,-2.220210477663853155e-03,4.771690493532432242e-05,1.609478813024978194e-05,2.166025546475047747e-04
3.500000000000000000e+01,7.812615735916773885e-02,2.439895055558145565e-01,-4.311832521696023490e-01,4.954289815633778349e-01,2.214188970029181552e-02,1.161691153160226975e-03,-3.605850433902380026e-03,1.459051161258884122e-04,8.854035892209566327e-04,-1.429265794091971742e-03,1.394765912456907841e-04
3.600000000000000000e+01,6.083978982948152342e-02,-3.843315055740426089e-05,3.452059657426067574e-01,3.452059678820643684e-01,1.240591265949142312e-02,-2.538280349538069025e-03,-3.629473736017629903e-03,-2.142105267555538539e-03,-5.475137081767389446e-04,-8.869089898818627304e-04,4.725471506277223455e-04
3.700000000000000000e+01,7.658401107119883200e-02,-1.582975459910781479e-01,-6.181591142593110266e-01,6.381056367159386733e-01,2.405330801591782156e-02,-1.290688115041127570e-02,8.572954961408640884e-03,-4.276585136621990912e-03,-1.640228928113995899e-03,-3.600228404718741615e-04,-9.817230285258382594e-06
3.800000000000000000e+01,1.451104969021164981e-01,-4.848357125629809694e-03,-4.758214639646574096e-01,4.758461643601715751e-01,7.597095902565298431e-02,8.112245013124574911e-03,3.216257931108579271e-03,3.080943589564011376e-04,3.043635967654445551e-04,-2.338734642806095110e-04,1.116363961339850164e-04
3.900000000000000000e+01,1.510600156590910514e-01,-2.573622782245552632e-01,2.982291626620829916e-01,3.939238196847971163e-01,7.868177431639519770e-02,-3.821787645445273718e-03,1.099954530369151584e-03,-5.154585663564859033e-04,5.339330567477595935e-05,2.220335558213992755e-04,-2.841208128001593280e-05
4.000000000000000000e+01,1.190532993300987274e-01,1.056397809110598551e-02,4.096492073994850713e-01,4.097853959771329824e-01,4.908953415788332858e-02,1.620569013917050327e-03,-1.462898988251248866e-03,6.738635818137606037e-04,-9.129252582467106691e-04,2.666308053944632661e-04,-1.231983952594273291e-04
4.100000000000000000e+01,6.391182132850711795e-02,1.113813435523037798e-01,-4.281744437467875919e-01,4.424241833008083491e-01,1.433406498244440760e-02,-1.071555689715608661e-02,-4.624259150309062427e-03,1.891337227990730341e-03,1.651633111014572108e-03,-4.857408156212494887e-04,3.510088515201736925e-05
4.200000000000000000e+01,1.221890744862903083e-01,4.434041258287968468e-01,1.454503166672119763e-01,4.666508474444161503e-01,5.339840715843671703e-02,1.054138217534572597e-02,1.375167280403655212e-03,8.394106000870760198e-04,3.082282224793342351e-04,2.041725499573043834e-04,1.557088849213350557e-04
4.300000000000000000e+01,1.752482305937601015e-01,-1.671391410437934599e-01,-2.467157557258262690e-01,2.980002627385127667e-01,1.020756184730816640e-01,-2.311876660754386137e-05,-1.692593159737132424e-03,7.117727258598716134e-04,1.908162150827674708e-04,1.483120300092011234e-04,-4.249916684506693798e-05
